Dataset,Model,Accuracy,F1-Score,ROC-AUC
Scaled,Logistic Regression,0.8861607142857143,0.5142857142857142,0.8925059740666745
Scaled,Random Forest,0.8727678571428571,0.3870967741935484,0.8716261213616956
Scaled,Gradient Boosting,0.8816964285714286,0.4536082474226804,0.903827320092451
Scaled,SVM,0.8839285714285714,0.43478260869565216,0.8824382026873506
Scaled,XGBoost,0.8883928571428571,0.5535714285714286,0.8954832138519998
Raw,Logistic Regression,0.8504464285714286,0.33663366336633666,0.8234810200963687
Raw,Random Forest,0.875,0.40425531914893614,0.8716065342578446
Raw,Gradient Boosting,0.8816964285714286,0.4536082474226804,0.9036706232616445
Raw,SVM,0.8504464285714286,0.0,0.5787989187918675
Raw,XGBoost,0.8883928571428571,0.5535714285714286,0.8954832138519998
PCA,Logistic Regression,0.8861607142857143,0.49504950495049505,0.8946605554902651
PCA,Random Forest,0.8883928571428571,0.4897959183673469,0.8584048262623889
PCA,Gradient Boosting,0.8660714285714286,0.4339622641509434,0.8789125239942023
PCA,SVM,0.8772321428571429,0.4329896907216495,0.8804011438868649
PCA,XGBoost,0.8839285714285714,0.5357142857142857,0.8668076938143927
